,Tissue,Cell Type,Min mt count,Max mt count,Mean mt count,Normalized mt/total%,Age
472,Lung,endothelial cell of lymphatic vessel,792.0,108094.0,25205,1.45,24m
473,BAT,myeloid cell,46.0,1096913.0,73839,14.44,3m
474,GAT,myeloid cell,32.0,65511.0,12656,1.6,3m
475,MAT,myeloid cell,531.0,48887.0,13654,1.67,3m
476,SCAT,myeloid cell,88.0,28628.0,8703,1.5,3m
477,BAT,myeloid cell,230.0,1440118.0,125380,5.45,18m
478,GAT,myeloid cell,851.0,73581.0,17889,1.35,18m
479,MAT,myeloid cell,120.0,48303.0,10783,1.29,18m
480,SCAT,myeloid cell,47.0,56525.0,14614,1.23,18m
481,BAT,myeloid cell,7.0,1656242.0,30834,6.89,24m
482,GAT,myeloid cell,95.0,107180.0,16753,1.61,24m
483,MAT,myeloid cell,112.0,46438.0,8699,1.54,24m
484,SCAT,myeloid cell,4.0,340609.0,15038,1.57,24m
485,Marrow,early pro-B cell,4219.0,48492.0,21625,2.43,3m
486,Marrow,early pro-B cell,4078.0,69151.0,18627,1.61,18m
487,Marrow,early pro-B cell,26.0,178756.0,19196,1.98,24m
488,Marrow,lymphoid progenitor cell,220.0,51344.0,6733,3.66,18m
489,Brain_Non-Myeloid,oligodendrocyte,70.0,256385.0,23540,2.11,3m
490,Brain_Non-Myeloid,oligodendrocyte,226.0,5251500.0,159901,3.62,18m
491,Brain_Non-Myeloid,oligodendrocyte,282.0,721287.0,116623,3.72,24m
492,Lung,myeloid dendritic cell,12.0,50214.0,15164,1.53,3m
493,Lung,myeloid dendritic cell,322.0,178118.0,27516,1.66,18m
494,Lung,myeloid dendritic cell,0.0,228427.0,30949,1.62,24m
495,Lung,intermediate monocyte,1455.0,25111.0,12471,1.03,3m
496,Lung,intermediate monocyte,15479.0,15479.0,15479,0.97,18m
497,Marrow,megakaryocyte-erythroid progenitor cell,1123.0,26886.0,15551,2.17,3m
498,Marrow,megakaryocyte-erythroid progenitor cell,389.0,44141.0,13041,1.43,18m
499,Marrow,megakaryocyte-erythroid progenitor cell,145.0,400858.0,25517,2.21,24m
500,Trachea,mucus secreting cell,608.0,56613.0,19090,4.65,3m
501,Trachea,mucus secreting cell,2742.0,59180.0,17518,2.12,18m
502,Trachea,mucus secreting cell,34.0,142025.0,26466,3.14,24m
503,Thymus,epithelial cell of thymus,178.0,96619.0,30169,4.6,3m
504,Thymus,epithelial cell of thymus,24.0,337795.0,33814,11.65,18m
505,Thymus,epithelial cell of thymus,61.0,425559.0,37539,3.63,24m
506,Brain_Non-Myeloid,neuroepithelial cell,5621.0,17371.0,10586,18.16,3m
507,Brain_Non-Myeloid,neuroepithelial cell,0.0,522906.0,31698,19.77,18m
508,Brain_Non-Myeloid,neuroepithelial cell,41555.0,159600.0,95206,20.02,24m
509,Pancreas,pancreatic ductal cell,2780.0,149986.0,28884,2.44,3m
510,Pancreas,pancreatic ductal cell,253.0,297904.0,98053,2.47,18m
511,Pancreas,pancreatic ductal cell,37.0,671730.0,19980,2.01,24m
512,Diaphragm,skeletal muscle satellite cell,67.0,69271.0,16488,3.14,3m
513,Limb_Muscle,skeletal muscle satellite cell,19.0,106487.0,26144,3.47,3m
514,Diaphragm,skeletal muscle satellite cell,68.0,236685.0,64534,2.88,18m
515,Limb_Muscle,skeletal muscle satellite cell,36.0,338841.0,41836,3.02,18m
516,Diaphragm,skeletal muscle satellite cell,9.0,258325.0,11524,1.59,24m
517,Limb_Muscle,skeletal muscle satellite cell,1.0,305371.0,24576,3.12,24m
518,Brain_Non-Myeloid,Bergmann glial cell,7149.0,90991.0,41113,1.79,3m
519,Brain_Non-Myeloid,Bergmann glial cell,46228.0,211283.0,117451,4.9,18m
520,Brain_Non-Myeloid,Bergmann glial cell,64564.0,307084.0,154347,8.78,24m
521,Aorta,aortic endothelial cell,940.0,250955.0,29759,5.08,3m
522,Aorta,aortic endothelial cell,204.0,1520403.0,288467,11.52,18m
523,Aorta,aortic endothelial cell,422.0,873794.0,92825,3.01,24m
524,Aorta,professional antigen presenting cell,18.0,133017.0,26850,6.35,3m
525,Aorta,professional antigen presenting cell,20.0,347319.0,53593,38.17,18m
526,Aorta,professional antigen presenting cell,2872.0,1737214.0,197529,11.38,24m
527,Lung,plasma cell,595.0,36857.0,15173,0.74,18m
528,Lung,plasma cell,2125.0,234123.0,46656,1.59,24m
529,Marrow,immature B cell,122.0,74411.0,18953,2.93,3m
530,Marrow,immature B cell,1612.0,150865.0,29829,2.73,18m
531,Marrow,immature B cell,160.0,114007.0,24666,2.94,24m
532,Marrow,granulocyte monocyte progenitor cell,9389.0,81163.0,27533,2.03,3m
533,Marrow,granulocyte monocyte progenitor cell,89.0,130570.0,36208,1.82,18m
534,Marrow,granulocyte monocyte progenitor cell,3614.0,194103.0,39233,1.81,24m
535,Heart,ventricular myocyte,165645.0,627980.0,401907,38.63,3m
536,Heart,ventricular myocyte,33548.0,3829034.0,614610,30.91,24m
537,Liver,myeloid leukocyte,40.0,49482.0,20433,4.12,3m
538,Liver,myeloid leukocyte,288.0,260225.0,43712,1.81,18m
539,Liver,myeloid leukocyte,62.0,330956.0,53452,1.39,24m
540,Aorta,macrophage,9599.0,131201.0,46645,2.04,3m
541,Brain_Myeloid,macrophage,752.0,42304.0,13135,1.21,3m
542,Diaphragm,macrophage,1735.0,26916.0,11920,1.68,3m
543,Heart,macrophage,3420.0,61079.0,32249,56.18,3m
544,Kidney,macrophage,1301.0,139934.0,17073,2.1,3m
545,Limb_Muscle,macrophage,36.0,66197.0,13348,1.77,3m
546,MAT,macrophage,486.0,37149.0,12686,1.39,3m
547,Marrow,macrophage,721.0,31048.0,8548,1.4,3m
548,Skin,macrophage,3423.0,23924.0,10751,1.52,3m
549,Thymus,macrophage,3817.0,76382.0,25975,2.55,3m
550,Trachea,macrophage,2151.0,32660.0,11292,1.74,3m
551,Aorta,macrophage,261610.0,261610.0,261610,1.44,18m
552,Brain_Myeloid,macrophage,150.0,2124414.0,46051,2.51,18m
553,Diaphragm,macrophage,96.0,74141.0,7799,1.43,18m
554,Heart,macrophage,22382.0,2592981.0,319260,76.07,18m
555,Kidney,macrophage,505.0,127289.0,29185,1.86,18m
556,Limb_Muscle,macrophage,8.0,98166.0,11110,2.12,18m
557,MAT,macrophage,383.0,32786.0,10750,1.01,18m
558,Marrow,macrophage,80.0,142147.0,14767,1.31,18m
559,Skin,macrophage,2591.0,28851.0,11579,0.93,18m
560,Thymus,macrophage,2730.0,87506.0,36435,2.88,18m
561,Trachea,macrophage,451.0,181812.0,33775,1.53,18m
562,Aorta,macrophage,78067.0,224242.0,160471,1.71,24m
563,Brain_Myeloid,macrophage,0.0,188618.0,23795,1.33,24m
564,Brain_Non-Myeloid,macrophage,346.0,201688.0,28845,28.82,24m
565,Diaphragm,macrophage,1236.0,36801.0,9038,2.04,24m
566,Heart,macrophage,2917.0,1039991.0,236508,88.73,24m
567,Kidney,macrophage,0.0,815682.0,34025,1.34,24m
568,Limb_Muscle,macrophage,871.0,244007.0,36753,1.8,24m
569,MAT,macrophage,836.0,82612.0,19437,1.4,24m
570,Marrow,macrophage,98.0,347025.0,17987,1.8,24m
571,Skin,macrophage,26991.0,26991.0,26991,5.53,24m
572,Thymus,macrophage,53.0,299707.0,13395,2.53,24m
573,Trachea,macrophage,120.0,139850.0,32061,2.03,24m
574,Large_Intestine,enteroendocrine cell,501.0,64344.0,13845,4.5,3m
575,Large_Intestine,enteroendocrine cell,10799.0,133386.0,43884,3.45,18m
576,Large_Intestine,enteroendocrine cell,893.0,147541.0,29798,3.15,24m
577,Trachea,smooth muscle cell of trachea,2506.0,39625.0,15948,3.09,3m
578,Trachea,smooth muscle cell of trachea,114.0,250175.0,70399,3.09,18m
579,Trachea,smooth muscle cell of trachea,9607.0,114368.0,52353,2.74,24m
580,Skin,epidermal cell,393.0,60934.0,16473,1.98,3m
581,Skin,epidermal cell,8983.0,195051.0,34801,1.94,18m
582,Skin,epidermal cell,100.0,450209.0,56077,2.33,24m
583,Lung,non-classical monocyte,1887.0,19395.0,7890,1.11,3m
584,Lung,non-classical monocyte,1144.0,47854.0,11906,1.1,18m
585,Lung,non-classical monocyte,17.0,55181.0,9774,1.46,24m
586,Lung,smooth muscle cell of the pulmonary artery,3650.0,32330.0,12295,1.71,3m
587,Lung,smooth muscle cell of the pulmonary artery,3398.0,61513.0,22523,1.42,18m
588,Lung,smooth muscle cell of the pulmonary artery,12539.0,54026.0,25971,1.71,24m
589,Diaphragm,mesenchymal stem cell,61.0,45601.0,12201,1.62,3m
590,Limb_Muscle,mesenchymal stem cell,690.0,87726.0,14790,1.44,3m
591,Diaphragm,mesenchymal stem cell,11329.0,187468.0,66049,1.33,18m
592,Limb_Muscle,mesenchymal stem cell,118.0,196633.0,28350,1.36,18m
593,Diaphragm,mesenchymal stem cell,37.0,215773.0,13978,0.88,24m
594,Limb_Muscle,mesenchymal stem cell,92.0,970021.0,24712,1.59,24m
595,Brain_Non-Myeloid,ependymal cell,2911.0,59456.0,24127,2.73,3m
596,Brain_Non-Myeloid,ependymal cell,32.0,1155097.0,120746,3.55,18m
597,Brain_Non-Myeloid,ependymal cell,75359.0,559929.0,234828,5.4,24m
